Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Makaron pełnoziarnisty z orkiszem,8.4,31,1.7
Makaron vermicelli,7.5,79,0.9
Makaron z semoliny z pszenicy durum,12,72.1,1.5
3 min spaghetti,12,68,2
3 min PIPE RIGATE,12,72,1.2
Spaguetti,12,73,1.5
Makaron pełnoziarnisty świdry z pszenicy durum,15,61,2.2
Makaron Nadarzyński,11,75,0.5
Kimchi Bowl Noodles,8.1,66,16
Makaron Nadarzyński rurka,11,75,0.5
Spaghetti z pomidorami i mozzarellą,3.2,8.2,3
Richtig Śląskie Nudle,12.7,76,2.9
Mie - Makaron klasyczny,11,75,1.2
Makaron z mąka gryczaną - Penne,7.4,79,2
Makaron Ramen,11,80,1.1
Kolanka ozdobne,13,70,1.4
Makaron szlachecki,12,72,3.2
Makaron Chow Mein,11,74,1.5
Macarrones,12,68,2
Makaron kokardki,13,69,1.6
Massa de arroz integral,7.7,77,2.7
Makaron spaghetti nr 79,15,70,1.6
PASTANI PENNE,15,70,1.6
Mushrood soup,2,12,1.5
Tomato soup,2.1,11,0.4
Tortellini viande,8.1,31,4
Makaron muszelki nr 26,6.6,38,0.7
Ramen Tonkotsu,1.6,13,3
Linguine z matchą,14.1,69.3,1.7
Локшина швидкого приготування,6.9,47,19.3
Kluski slaskie,15,30.8,0.1
Saucy noodles smak sweet chili,2.2,15.5,4.7
SamSmak o smaku serowa 4 sery,1.6,9.8,3.6
Pomidorowa,1.6,9.6,3.4
Swiderki spirals noodle pasta,13,77,1
Makaron swiderki 4-jajeczna,13,72,2.7
Makaron Wstążka Przepiórcza,12.2,72.2,1.8
Makaron mini świderki,13,70,1.4
Linguine makaron z semoliny z pszenicy durum,12,72,1.3
Makaron Dobrusia,10.8,73.4,1.2
Ravioli z dodatkiem trufli,11,48,9
Green pea pasta,22,55,1.8
Tagliatelle rigate,6.6,38,0.7
Tortelloni z serem ricotta i szpinakiem,10,50,7.5
Makaron woliński z kurkumą,9,73.4,1.1
Makaron Spaghetti Pełnozoarnisty,15,61,2.2
Makaron Krajanka 2-jajeczny Wyborny,10.8,73.4,1.2
Makaron 4-jajeczny tradycyjny z Ludwina ryż,13,69,3.1
Makaron sojowy nitka,53.8,36.4,1.5
Richtig Ślonskie Nudle - Makaron 8 jajeczny,15,69,4.3
Zupka hińska,1.5,9.1,3.1
Spaghetti bolognese,5.8,17,2.6
Tagliatelle z pomidorami,12,71,1.5
Makaron penne niski indeks glikemiczny,7.8,20,2.8
Soba nodles,12,61,0.5
Ramen mit Hähnchenfleisch,5.2,11.3,0.9
Makaron protein,19,63,2
Makaron fusilli wieloziarnisty,8.9,51,2.8
Ramen Tantammen,9.6,21.5,13.8
Fusilli Beauty,8.6,38.9,2
Spaghetti Gluten free,5.5,79,0.8
5-jajeczny makaron,14,69,3.2
Makaron 5 jajeczny,13.1,71.6,2.8
"Alpro Mandeldrink, Original 1L",0.4,2.4,1.1
High Protein Drink Cacao,10.1,5,0.3
High Protein Drink Gusto Vaniglia,10.5,5.5,0.2
Masło orzechowe,24,14,50
SEREK WIEJSKI,11,2,5
Butter Extra 82%,1,1,82
Burrata,10.3,2,23.3
Mozzarella di latte di Bufala,13,0.7,23
Śmietana 18%,2.5,4.8,18
Crème dessert saveur vanille,10,6.3,1.5
Hochland Almette Soft Cheese 150G,6.7,3.2,24
Creme Brulee,4.3,20.4,14.7
High Protein Quark Raspberry,12.5,3.6,0.5
Crème dessert saveur chocolat riche en protéine,10,5.9,1.5
Serek wiejski lekki 3% tłuszczu,11,2.3,3
"Łaciate 3,2%",3.2,4.7,3.2
Masło ekstra,1,1,82
"Mleko WYPASIONE 3,2%",3.2,4.7,3.2
Skyr Icelandic type yoghurt blueberry,6.5,9.5,1.5
Twaróg wiejski,16,3.8,4
Serek Wiejski wysokobiałkowy,15,2,3
Skyr jogurt pitny typu islandzkiego mango & marakuja,6.5,10,1.5
Ser królewski,26,1.2,27
Serek homogenizowany waniliowy,7.2,13,6.3
Łaciaty serek śmietankowy,5.8,4.8,23
Skyr jogurt pitny Naturalny,7.6,4.3,1.8
Twój Smak Serek śmietankowy,6,3,23
British Mature Sliced Cheddar,25.4,0.1,34.9
Mullermilch šokolādes,3.2,12.3,1.5
hleko,3.2,4.7,3.2
Masło extra Łaciate,0.6,0.8,83
Serek Almette z ziołami,7,3.1,22
Полуобезмаслено безлактозно краве мляко 1.5%,3,4.7,1.5
Jogurt pitny,6.5,10,1.5
"Mleko zagęszczone 7,5%",6,10.2,7.5
Kefir Naturalny,3.4,4,1.5
Mleko Polskie SPOŻYWCZE,3,4.7,2
Cream cheese with herbs,5.3,4,20
Mleko wieskie świeże 2%,3.2,4.8,2
Jogurt naturalny typu greckiego - Fruvita,3.6,5,10
Кисело мляко с вишни,3.4,13.5,2.7
Low Fat Cottage Cheese,11,2.4,3
Mleko wiejskie,3.1,4.7,3.2
"mleko UHT 3,2%",3,4.8,3.2
"Mleko świeże 3,2%",3.2,4.7,3.2
Favita,10,4,18
Serek puszysty naturalny Łaciaty,5.8,4.8,23
Müllermilch,3.2,10.5,1.4
.,3,4.7,3.2
Skyr,6.5,9.5,1.5
Синьо сирене,19,1.5,25
Soured cream 18%,2.7,4.8,18
Tradycyjne masło irlandzkie,0.7,0.7,82.5
Jogurt Grecki naturalny,3.6,5,10
Produkt mleczny bez laktozy 2%,3.9,2.6,2
Пълномаслено краве мляко 3.5%,3.3,4.7,3.5
Świeże mleko,3.2,4.7,3.2
Śmietana Polska 18%,2.3,4.2,18
Mozarella,17.5,0.8,17
Ser Rycki Edam kl.I,26,2,27
Müller Müllermilch Bananowy Napój Mleczny 400 G,3.1,12.2,1.4
Mleko UHT 2%,3.3,4.8,2
Pudding proteinowy,10,6.3,1.3
Serek wiejski naturalny,11,2,5
Jogurt naturalny,6,4.8,3
High Protein Drink Chocolate,10.6,5.3,0.3
Skyr Vanilla,8.8,4.1,0.2
Müllermilch PROTEIN,6.5,10.6,1.6
Mlekovita Favita Ser Sa?atkowo Kanapkowy 12% T?uszczu Light 270G,13,7,12
Serek Wiejski Lekki,12,2.5,3
Camembert,18,1.3,31
Fromello,6,3,23
Kefir Naturalny 1.5%,3.6,4.6,1.5
Twarożek grani klasyczny,11,2,7
"Mleko Świeże 2,0%",3.3,4.8,2
Original Allgäuer Limburger,23,0.5,19
Fromage blanc 3% de matière grasse,6.9,4.3,3
Riso o smaku waniliowym,3.3,16.8,2.5
Lactose Free Milk,3.2,4.7,3.2
Lovilio Mozzarella,17,2,16
Monte,2.6,15.7,11.8
Mleko 3.2%,3.2,4.7,3.2
Hochland Tost,16,6.6,17
Monte Max,2.6,15.7,11.8
Serek Homo Wanil 200G Rolmlecz,7.5,13,5.5
Full Fat Curd Cheese,15,4,7.5
Butter,0.8,1.1,75
Bakoma jogurt naturalny typ grecki,3.5,4.7,7.5
MLEKO,3,4.7,1.5
Muller MIX Vanilla taste jogurt choco balls,4,16.5,5.3
Fantasia,3.2,15.6,8.3
Spécial pâtes,26,1,24
Puszysty Serek Jogurtowy,7.3,4,24
Mleko zagęszczone słodzone,7.3,55,8
Млечна напитка с вкус на ванилия,6.6,10.2,1.4
Tiramisu,4.5,32,2.6
"Tradycyjne masło Irlandzkie, solone",0.7,0.6,80
CHEDDAR Processed cheese slices,24,5.8,17
Cream cheese,7,4,23
Fruvita Pure,2.6,9.5,0.8
Napój mleczny o smaku ciasteczkowym,3.4,10.1,1.6
jogurt naturalny kremowy,6,4.8,3
Activia,4.5,5.7,3.7
Primo śmietanka 30%,2.3,3.4,30
Jogurt z probiotykami truskawka kiwi,2.9,10,0.8
Delikate Serek Smetankowy,6,3,23
Danio smak waniliowy,5.3,14,2.9
White cheese smoked,4.7,1.1,6.2
Duńskie masło lekko solone,0.6,0.7,82
"Mleko 3,9 %",3.1,4.8,3.9
Serek homogenizowany o smaku waniliowym,5.3,12.8,2.9
Jogobella Brzoskwinia,3.5,12.2,2.7
Gouda - ser topiony kremowy,10,9,16
Almette a chrzanem,6.8,4,23
Twarożek Domowy grani naturalny,11,2,7
Mozarella a Fette,24,0.9,21
"Kefir naturalny 1,5 % tłuszczu",3.2,4.5,1.5
Serek wiejski z jagodami,8.6,10,4
Sandwich fromage fondu,13.7,6.1,16
Fantasia z płatkami w czekoladzie,3.4,16.8,7.9
twaróg,17,4,4
koktajl spożywczy,10.2,9,1.2
Świeże mleko 2%,3,4.7,2
Śmietana,2.6,3.1,18
Wydojone,3.2,4.7,1.5
Mozzarella,17,1,18
Mleko 2%,3.2,4.7,2
Koktail Białkowy malina & granat,10.2,9,1.2
"Mleko UHT 3,2",3,4.7,3.2
Duńskie masło,0.6,0.7,82
"Mleko 1,5%",3,4.7,1.5
"Mleko bez laktozy UHT 1,5%",3.3,4.8,1.5
Zott Jg.jogobella Trus.150G.,3.5,13.7,2.7
Danio stracciatella,5.8,12.8,4.4
Jogurt jagodowy,2.4,8,1.8
Kajmak masa krówkowa gostyńska,6.6,50,7.2
Топено сирене с Гауда наразяно,24,5.8,17
Masło extra 82% tłuszczu,1,1,82
Bon Gelati Eiscreme mit Schlagsahne,4.2,26.6,13.2
Bakona Jogurt Naturalny Gęsty,3.3,4.9,2.8
Mleko świeże bez laktozy 2% tłuszczu,3,4.7,2
Jogobella Strawberry Standard,3.5,14.8,2.6
Maślanka Mrągowska,3.5,5,1.5
Топено сирене със сирене Тилзит,12,7.4,16
twarożek,6,3.7,26
Caramel macchiato,2.9,9,1.6
Jogurt kremowy z jezynami,3.5,19.7,2.6
Coconut homogenized cheese,7.2,13,6.3
"Müllermilch, napój mleczny o smaku malinowym",3.2,10.1,1.3
Milk,3.2,4.7,3.2
Duet jogurt pitny Truskawka-Kiwi,1.7,10.5,0.8
Riso Strawberry,2.9,17.9,2.1
Mleko 3.8%,3.2,5.1,3.8
Kefir naturalny 2%,5.7,8,3.3
Twaróg półtłusty,17,3.5,4
Milk Lactose free 3.2% UHT,3,4.7,3.2
JOGURT  FRUVITA,6.8,1.2,1.7
Mozarella ser tarty,24,2.5,20
Twaróg krajanka,19,3.7,4
Ser kremowy w plastrach gouda,16,6.7,17
Ser sałatkowo-kanapkowy półtłusty,13,7.5,12
Mleko UHT 3.2%,3.2,4.7,3.2
Serek proteinowy ze skyrem (brzoskwinia-mango),12,5,0.2
Pik Nik Kids,26.7,0.3,20.8
smietanka laciata,2.2,3.3,30
kokos naturalny,0.7,6.4,3.7
Jogurt kremowy z malinami i granolą,2.9,20.3,5.8
Serek śmietankowy,6,3,23
Mozzarella light,19,1,8.5
Almette śmietankowy,6.3,2.4,25
bita śmietana spray,2.6,18,21
Jogurt pitny proteinowy,8,6.4,1.5
Fantasia z wisniami,2.3,15.9,5.3
Masło osełkowe ekstra,1,1,82
Jogurt,5,4,2.4
serek puszysty klasyczny,6,3,23
Jogurt bez laktozy,2.8,4,9
Fruvita jogurt truskawkowy,2.7,12.6,2.5
"Milk, 2% fat",3.2,4.7,2
"Jogurt z jagodą, czarną porzeczką i ziarnami zbóż",3.4,14.8,2.5
Roi du château,16,0.5,32
Jogurt pitny truskawkowy 0% tluszczu bez dodatku cukru,3.7,6,0.2
Masło ekstra z Łukowa,0.7,0.7,83
Fruvita,3,8.7,0.9
Łaciate,3.3,4.8,1.5
Starbucks frappucino,2.8,9.7,1.6
Müllermilch Shake,3.4,11,3.5
Jogobella Musli,3.8,13.2,3.1
Ser kremowy w plastrachz szynką,17,4.5,19
Lait,7.1,63,25
Serek homogenizowany stracciatella,6.6,12,6.5
Jogurt typu greckiego,3.8,5,10
Masło Extra,0.6,0.8,83
Serek Tutti Prosty Skład,7.2,12.9,6
Łaciaty z czosnkiem,5.8,4.9,23
Masło Ekstra 82%,0.7,0.7,82
Mleko UHT,3,4.7,3.2
Jogurt Pitny Proteinowy Banan,8,6.7,1.5
Jogurt naturalny typu greckiego,3.6,5,10
Cream Cheese with Chanterelles,5.5,5.7,21
Ser kremowy ze smietanka,11,5.8,16
Serek Wiejski Klasyczny,11,2.5,5
Camembert naturalny,18,0.5,24
Ser Królewski Light,31,1.6,19
Almette ser twarogowy,7.1,3.5,24
Serek waniliowy,7.5,13,5.5
Almette z pomidorami,7.3,4.4,21
Jogurt z kiwi,3.5,11.8,2.7
Хомогенизирано прясно краве мляко 3.2%,3,4.7,3.2
Jogurt Naturalny Gesty,3.3,4.9,2.8
Serek wiejski lekki 3%,11,2.4,3
Lactose-free extra butter,0.7,1,82
Ale Pitny truskawka-poziomka,1.6,13.1,0.8
Śmietana 12%,3,4,12
Butter Extra,0.7,0.7,82
Śmietanka UHT,2.2,3.1,30
Ser feta,16.5,0.7,23
Śmietana naturalna 18% Pilos,2.4,3.9,18
Serek śmietankowy meksykański smak,5.8,4.9,23
kaus.siers Hochland ar sald.krēj.,11,6,15
Jogurt pitny z owocami leśnymi Fruvita,2.8,11.8,2
Ser Halloumi,20,1.4,24
Bieluch Serek Naturalny,8.6,4,8.5
Dessert proteico gusto cioccolato,10,6.4,2
Jogurt pitny truskawkowy,7.6,9.7,1.5
Pur Chèvre,20,1,28
"Mleko UHT 1,5%",3.3,4.8,1.5
Cottage cheese with strawberry,8.6,10,4
Mleko Migdałowe,0.6,3.7,1.4
YoPRO (Smak Truskawka Malina),8.4,5.5,0.5
Ser gouda plasterkowany,25,1.1,26
Serek wiejski z malinami i żurawiną,8.6,10,4
Jogurt pitny 0% śliwka,3.7,6.2,0.2
Serek śmietankowy z cebulą i szczypiorkiem,5.8,4.9,23
Serek Laciaty z chrzanem,5.5,5,21
Camembert ziołowy,18,0.5,24
Skyr Waniliowy Typu Islandzkiego,10.2,12.1,0.1
Jogurt brzoskwiniowy,3.5,12.2,2.7
Natural kefir,3.4,4.9,2.5
Śmietanka,2,3,36
Ser topiony w plastrach z szynką,20,5.6,17
Łaciate Uht Milk 2.0% Fat 0.5 L,3.3,4.8,2
Pure Jagoda/Banan,4,11.3,3.1
Serek Tutti - Truskawkowy,5.4,14,5
Ser Carski,26,1.3,26
Nasz camembert naturalny,18,1.3,31
Go Active Napój proteinowy - słony karmel,10,4.5,0.1
Fromello - Serek z cebulą i szczypiorkiem,5.8,4.9,23
Original Greek Feta,16.4,0.4,22.5
jogurt Naturalny Gęsty,3.3,4.9,2.8
Jogurt Bio Fresas,3.4,14.2,2.5
Śmietana łaciata 18%,2.7,4,18
taciate,3.2,4.7,3.2
Tworóg półtłusty,16,3.8,3.5
Cheddar długodojrzewający 10m-cy,25.4,0.5,34.9
Gouda,25,1.1,26
Paluszki Serowe,27,0.5,21
Tradycyjnie masło z Łosic,0.8,0.6,82
Jogurt dobry na drogę,2.9,13.1,2.7
Activia yaourt à boire myrtille,2.9,10,0.9
Vintage Cheddar,25.4,0.1,34.9
Jogurt do picia brzoskwinia - mango.,2.8,12.1,1.6
Bon Creme  jogurt kremowy kokos&migdał,2.8,13.8,6.3
Cottage cheese,11,3,5
SBA Protein Milk Shake Czekolada,7.4,4.9,1.1
Serek twarogowy śmietankowy,7.6,3.2,22
Jogurt o smaku pieczonego jabłka,2.7,14.5,2.5
Gorgonzola Pikantna,20,0.9,29
Actimel fraise,2.8,12,1.5
Jogurt pitny o smaku suszonej śliwki 0% tłuszczu.,3.7,6.2,0.5
Mlekovita - Jogurt Naturalny,3.9,5.3,3
"Mleko świeże bez laktozy 2,0%",3,4.7,2
Jogurt wysokobiałkowy low carb waniliowy,6.8,1.2,1.7
Masło ekstra bez laktozy,0.7,0.7,82
ProteinSkyr,8.7,6.8,1.5
Riso o smaku pistacjowym,3.2,18.3,2.4
Śmietanka UHT 12,2.7,3.9,12
Skyr Mango-Marakuja,6.2,13.9,1.4
Kaszka Proteinowa Mleczna,8,8.7,1.5
Serek bieluch,9,4.5,3
Mozzarella light Zottarella,19,1,8.5
UHT Cream,3,4.2,12
"Mleko 3,2%",3.2,4.7,3.2
"Mleko UHT 2,0%",3,4.7,2
Serek kremowy z pomidorami i bazylią,7.3,5.3,14
Twaróg klinek chudy,20,3.5,0.2
Jogurt Bio z morelami,3.4,14.2,2.5
Mascarpone ser śmietankowo-kremowy,3.4,4.9,40
Ser Rycki Edam,26,2,27
śmietana 12% do sałatek,3,4,12
Serek homogenizowany ciasteczkowy,6.6,12,5.8
Śmietanka z czekoladą,2.9,23.1,7.1
Garlic & Herbs Lactofree Fresh Cheese,8,4.1,16
Piątuś waniliowy,6.5,11,5.6
Fromage Blanc Nature 0% MG,8.5,4.9,0.5
Blue niebieski,19,1.4,32
Twaróg delikatny naturalny,9.1,3.1,7
Kremowy serek twarogowy kanapkowy ze szczypiorkiem,4.6,5.8,18
Napój mleczny o smaku kawowym,2.8,10.9,4
Twarog sernikowy,9.7,4.2,4
Corregio,32,0.5,26
Bondi,2.7,15.8,13.6
Danio brzoskwiniowy,5.4,14.4,2.9
Napój mleczny kakaowy,10.3,5.7,0.3
Ser kremowy z szynką,11,6.2,16
Ayran napój turecki,2.1,3,1.5
Śmietanka łaciata  do zup i sosów 18%,2.7,4,18
Capresi serek śmietankowy z papryką,6.9,3,24
Fruvita duo,4.5,16.8,8
Naturalny twaróg półtłusty,17,3.4,4.2
Śmietanka 12%,2.7,3.8,12
Lactose free UHT milk,3,4.7,1.5
Twaróg Półtłusty (Bez Laktozy),17,4,4
Śmietana mleczna dolina,2.7,4,18
"Mleko Bez Lektozy 1,5%",3.3,4.8,1.5
Original,9,62,1.5
biscottes braisées,14,59,5.6
Petits pains grilles,10,66,10
Toast crock' céréales complètes,9.9,67,3.1
Beau & bon seigle,10,44,7
Biscottes sans sel ajouté,12,75,5.1
Biscottes Blé complet,12,62,4.9
Biscottes complètes x36,15,63,4.8
Piada sfogliata,5.7,36.9,7.2
Biscuits Nature,11,74,5
Wheat Tortilla wraps,9.9,52,6.5
8 Tortillas au blé,9.4,55,7.3
Wraps blé complet,7.7,48,7.4
BISCOTTES Nature,11,72,5.6
Vollkorn Tortilla Wraps,9.3,46.3,6
Biscottes,14,61,10
Petits pains grillés,9.8,69,11
Grissini Rosmarino - Breadsticks with Rosemary,11.5,68,10.8
Tortilla Wraps XXL,10,53.2,7.6
Tortilla – placki pszenne,9.5,40,7.2
P’tit tranché Graines,3.6,40,4.9
Tost pełnoziarnisty,10,43,2
free from white bread,4.7,39.4,3.4
Paluszki słone,12,71,3.6
Biscottes goût brioché,11,73,5.1
Tortilla,8.8,49,6.7
"Sandwich cheese tomato&basil 120g, int",12,53.5,23
Tost  maślany,8.6,50,3.2
Sandwich Cheese & Chives,8,50.4,21
tosty pszenny,7.9,49,1.4
Pain DE mie,8.2,47,3
Pieczywo Sonko Lekkie 7 Ziaren,8.6,76.8,1.5
Chleb Pszenno-Żytni,7.6,49.3,1.3
Chleb Wiejski,6.8,47,1.2
Beskidzkie paluszki z solą,11,73,5.5
Tortilla wraps,7.9,50,6
Lekkie żytnie,8.2,74.5,1.6
Toast bread,8.8,52,3.9
Pieczywo z pełnoziarnistej mąki żytniej,9,65,1.5
Chleb Tostowy Z Mąką Pełnoziarnistą,9.5,45,2.1
Pieczywo Chrupkie Zytnie CRISPY z pomidorami i bazylią,12,58,20
Chleb żytni,5.6,36,1.4
Chickpea cakes,12,73,3.2
Pieczywo kukurydziane chrupkie,7.8,83,0.9
Wraps lo-carb whole wheat tortilla,9,48.3,6.7
Chleb żytni z dodatkiem amarantusa i komosy ryżowej,5.3,31.7,5.2
white Bagels,10.1,54,1.1
Kit fajitas,9.4,55,7.3
Mleczne bułeczki,9.6,50,12
Slim bread,20,38,29
Paluszki solone,12,72,5.7
Pano Tortilla placki pszenne,8.3,53,4.8
paine fără gluten,10,16,28
LAWASZ pszenny chleb,8.7,53.3,3.7
Lawasz,9.9,56.9,4.2
Biscottes à la farine complète 57%,13,65,6
Organic Pita Bread,7.9,50.9,0.9
Chleb Firmowy,7.6,49,1.5
Sucharki,13,68,7.4
Pinsa,8,46,4.3
6 Wraps,9.4,55,7.3
Bułki pszenne do hot dogów.,7.5,54,3.3
Tost maślany,8.6,50,3
Tradition graines,8.2,43,2.8
Tost pszenny,7.8,49,1.4
Pieczywo chrupkie razowe,11,72,4.5
Bułeczki śniadaniowe,9.5,50,12
Pita Pszenna,8.4,48.5,1
"Chleb żytni z pełnego ziarna żyta, razowy",6.9,33,5.4
Bułeczki mleczne z czekoladą,9.3,52,13
Bułka Burger,8,51,4.6
Buns burger,7.9,50.6,4
Grissini Torinesi,13,72,7.4
Bułka tarta,12.5,71,1.2
Chleb żytni z ziarnami,8.4,37,5.9
Pieczywo żytnie chrupkie,8.9,74,0.8
Tost trzy ziarna,9.3,40,6
Chleb Baltonowski,6.9,49,1.1
Delikatesowe extra sucharki,11,73,4.1
Chleb wieloziarnisty Złoty Łan,9.8,46,4.6
Sticks verzi,11,73.3,8.3
Chleb Mieszany Razowy,5.7,42,1.3
Chleb razowy żytni,5.4,30,1.3
Sesam Bagel,10,49,5.3
Wasa Pieczywo chrupkie z błonnikiem,13,46,5
Hot dog francuski bułki pszenne,9.2,50,1
Chleb,6.8,47,1.2
8 soft flour Tortillas,8.8,53,5.4
8 tortillas,11,54,6.3
Lekkie ze słonecznikiem,8.9,78.1,1.5
Hot dog pszenno-żytni,8.5,55,2.8
Chleb Tostowy 4 ziarna,10,46,5.4
LaPinsa,8.3,42,6
Grzanki pszenne z czosnkiem i pietruszką,8.9,52.9,30.4
Tortilla Wraps with whole wheat,9.3,46.3,6
Brioche style Buns,7.9,51,5.7
Wheat flour tortillas,8.5,52,6.9
Bułki z ziarnami,12,44,9.8
Baguette Brötchen,8.7,50,1
Bagietki,8.7,50,1
Chleb tostowy pełnoziarnisty,10,44,2.3
Pizza classica italiana,8.3,49,6.9
Mini Grzanki Pszenne z Czosnkiem,10,61,21
CRISPY PIECZYWO CHRUPKIE z serem i cebulką,18,41,21
Mieszanka do wypieku chleba żytniego. Chleb żytni.,12,63,3
Dan Cake Toast Bread wholegrain,9.5,43,3
Chleb z kiełkami żyta,9.9,42,1.2
Mieszanka do wypieku chleba pszenno-żytni. Chleb baltonowski,11,65,2.9
Bajgle z ziołami prowansalskimi,12,61,15
Kräuter Baguette,7.1,41,13
Bułki do hamburgerów z sezamem,10,48,4.3
Bułki hamburgerowe z sezamem,9.8,46.2,5.6
Chleb Graham,7.3,41,2.2
Paszka,9.8,71,1
Chleb słonecznikowy krojony,7.8,52,4.4
Chleb wieloziarnisty ciemny,8.8,53,5.1
Chleb Sandomierski,6.1,57,1.2
Chleb wieloziarnisty,7.7,46,4.3
Chleb Baltonowski krojony,7.2,68,1
Chleb wiejski krojony,5.7,49,0.9
Tost z mąką pełnoziarnistą (pszenno-żytni),8.4,44,1.7
Bułeczki pszenne częściowo pieczone - do samodzielnego wypieku.,8.5,50,1
Grzanki z ziołami,13,67,7
Chleb żytni z żurawiną,5,47,1.1
Chleb Danuty (pszenno-żytni),8.3,40,3.8
Bułki hamburgerowe XXL,9.2,46,3.4
Chleb Żytnio-Wiejski,7,57,1.6
Bułka tarta pszenna drobno mielona,12,71,1.4
Chleb wiejski pszenno-żytni,7.3,54.9,1.4
Chleb Kamyśnisk krojony,7.2,52,1.3
"Chleb firmowy, pieczywo mieszane pszenno-żytnie",5.5,47,1.7
Chleb na maślance,6,47,1.7
Chleb żytni-razowy,6.9,44.5,1.3
Chleb żytni wieloziarnsty,6.9,40,5.2
Bagietka z masłem czosnkowym,7.1,41,13
Chleb tostowy pszenny,8.6,50,3
Wielloziarniste,10,56.5,4
Bułka do hot doga,9.2,55,12
chleb żytni z sieminiem lnianym,7,40,4.2
Tortilla Pszenno-Żytnia,8.4,41,4.5
Kebab z kurczaka,8.2,29,13
Pšeničné bagety,8.7,50,1
Maxi burger buns,8.5,49,5.5
Suchary Pszenne Mini,11,70,7
Chleb żytni bez drożdzy,3.6,47.4,1
Bułki do Hamburgerów,8.4,53,11
Kajzerka kebab,9.8,29,16
Pretzel sticks with onion flavour.,12,72,5.3
Taco shells,6.6,55,23
Chleb Litewski,6,49,1.1
"Chleb przaśny, Podpłomyki",12.4,80.6,4.3
Chleb koszarowy,6.3,41,1.8
Pieczywo chrupkie Żytnie,8.7,72,0.9
Chleb Baczyński na zakwasie krojony.,6.9,50.5,1.3
Chleb Żytni Poligonowy z nasionami słonecznika,5.7,48,2.8
Pain burger simply,9.9,45,4.7
Chleb żytni razowy,4.8,44,1.8
Chleb Zbójecki,8,41,7.5
Kajzerka pszenna,9.7,56,2.5
Chleb do żuru,8.2,58,1.2
Chleb z ziarnami,9.7,40,5.8
Bułki &quot,9.6,60,6.3
Panierka orientalna Panko,14,74,1.6
Wraps Tortilla classic,9.5,54,7.2
Tortilla - placki pszenne,6.1,59,6.7
Chleb wielozbożowy żytni pełnoziarnisty,5.8,33,2.8
Tortil,7.9,51,5.9
Chleb słoński krojony,6.4,54,1.2
Chleb żytni pełnoziarnisty pasteryzowany,5.3,37,1.4
Tortilla gyros,9.8,19,10
Pieczywo chrupkie kukurydziane,8.1,75.4,2.9
Tempura panierka,6.6,79,0.9
Chleb myślenicki,7.8,55.2,1.3
Baciarki z ziołami i solą morską,11,70,9.8
Hot-dog pszenny,8.5,55,2.8
Bułka tarta klasyczna,12.5,71,1.7
Lawasz Ormiański,9.9,57,4.2
Classic Pszenny Hot Dog,9.9,48,1.4
Pieczywo chrupkie gryczane,12.2,69,2.4
Chleb jakubowy żytni razowy,7.4,31,6.5
chleb IG,12,40,8.8
Pieczywo żytnio-pszenne z maślanką,5.7,45,1.2
Bułki śniadaniowe,9.7,51,1.4
Sucharki z rodzynkami,9.8,72,3.4
Maca razowa,9.4,7.8,1.4
Chleb rodzinny,4.5,50,1.1
Chleb razowy krojony,6.4,57.9,1.5
Chleb pełne ziarno - pieczywo mieszane,10.4,42.3,16.6
Bagietka Fitnes,10,47,5.1
Corn Crispbread,7.6,82,0.5
Junior paluszki,11,74,5.6
Pain,8.3,46,1.5
Tortilla wrap,8.5,52,6.9
Grzanki,12,71,6.5
Toasts genereux,8.3,50,5.8
Chleb okrągły,8.4,47.8,2.9
Chleb pasterski pieczywo pszenno-żytnie,9.1,40,1.2
Chleb moniecki razowy,5.3,50,1.6
Chleb żytni miodowy zs śliwkami,5.2,54,1.8
Tortilla z ziarnami,9.1,50,6.5
chleb słonecznikowy,8.1,50,4.8
Weka pszenna,9.5,59,2.2
Bułki hot-dog,9.2,50,4.4
Hot dog rolls,8.7,49.8,4.7
Chleb śniadaniowy krojony,7.8,52,1.7
Chleb wojskowy,4.4,41,1.1
Mehrkorn Bagel,11,51,4.1
Chleb Oliwski,8.4,48.5,0.9
Chleb żytni  z nasionami słonecznika,6.9,45,5.3
Chleb ciemny wieloziarnisty,9.2,35.2,1.4
Chleb jasny,4.2,37.7,10.3
Chleb z przyprawą włoską,1.9,54,3.9
Chleb razowy mestemacher,5.1,37.9,1.2
Graham crisp bread,11.8,66.4,4.2
Pita,8.9,45,1.2
Chleb pełnoziarnisty żytni,7,37,6.5
Chleb ze slonecznikiem,9.7,38.7,8.1
Gourmet Brioche Style Buns,8.7,53,3.3
Pieczywo chrupkie typu lekkie żytnie,7.9,65.3,2.2
Chleb polski razowy,7,40.1,1.6
Pita z Oliwa z Oliwek,8.5,52,0.9
Chleb mistrza Adama,5.5,47,1.2
La Pinsa Gourmet,7.6,46,3.5
Grissini,16,55,22
Hot dog Graham,8.9,44.6,2.1
Tortilla pełnozoarnista,9.4,48,6.3
Chleb Szreniawski,9.3,54,0.8
Chleb orkiszowy pieczywo mieszane pszenno-żytnie,7.4,40,1.2
Ciabatta,2.1,46,6.3
Bread crumbs,11,75,4.3
Werther's Original,0.3,86.9,8.4
Tic Tac orange,0.1,96.7,0.7
Sezamki,11,54,25
Tago Ciasteczka owsiane z sezamem,5.5,65,23
Balla stixx,2.7,83,3.6
