Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Mini Saucissons Secs,29,3.5,38
Schab Wędzony na wiśniowo,18,2,2.4
Pasztet drobiowy,7.5,5.5,12
Szynka eksportowa,19,2,1.6
Parówki,14,1.3,24
Z Serem,14,2.8,21
Ham Frankfurters,14,3.5,22
Podlaski pasztet drobiowy,7,4,15
Chicken Pâté,8.5,5.2,17
Пастет с печено свинско месо,10.4,2.8,24
Szynka konserwowa z galaretką,17,0.5,4.9
Boczek,13,1,28
Kiełbasa z weka,13,1,24
Szynka Konserwowa,19,1.3,2
Polędwica Wiejska Sadecka,27,0.5,5
Wielkopolski Pasztet z drobiem i pieczarkami,8.2,5.2,17
Salami klasyczne,20,1.5,36
Szynka delikatesowa z kurcząt,19,2.2,2.5
Gulasz angielski 95 % mięsa,17,0.5,19
Kiełbasa Żywiecka wieprzowa,24,0.6,14
Parówki z piersi kurczaka,16,0.2,13
Pasztet,8.4,6.7,14
Konserwa mięsna z dziczyzny z dodatkiem mięsa wieprzowego,13,2.5,18
Франкфуртери от свински бут,18.5,0.4,19
Boulettes au boeuf*,12,3.5,15
Polędwiczki z kurczaka,15,14,8.4
Berlinki pepperoni,13,2.1,21
Kiełbasa z czosnkiem,14,0.6,20
Pasztet drobiowy z pomidorami,7.5,6.6,15
Parówki wieprzowe Mediolanki,13,2.9,24
Polędwiczki z kurczaka panierowane,18.5,7.8,7.7
Krakowska sucha z szynki,24,1.1,6.9
Berlinki jalapeño,13,2.8,21
Filet z kaczki z sosem żurawinowym,17,1,13
Salami pieprzowe,20,1.5,36
Schab wędzony wiśnią,18,2,3.6
Tatar wołowy,17,0.5,5.4
Mięso z fileta z piersi indyka,22,0.5,2
Mięso Mielone Z Kurczaka Świeże,19,0.5,7.9
Hamburger,11,11,18
Szynka z fileta kurczaka,21,2.5,2
Szynka Eksportowa z piersi kurczaka,20,1,2.1
Szynka z indyka,18,2,2
Szynka Zawędzana,18,3,2
Kabanosy,26,6,42
Pasztet z pieczarkami,7.8,2.6,14
Salami Pepperoni,17,1.3,41
Boczek wędzony,13,0.7,31
Golonka wieprzowa,17,0.5,8
Szynka Wędzona,20,1.1,3
Kiełbasa Żywiecka z indyka,23,0.3,7.4
Szynka Delikatna,21,1,14
Kiełbasa Mysliwska,27,3.2,27
Kiełbasa biała,13,0.5,13
"Battered chicken tenders, mild",20,4.5,6
Salami z cebulą,19,4,37
Pasztet wielkopolski z czerwonym winem,9,6.4,20
Danie express Panierowane skrzydełka z kurczaka,20,6.9,17
Kiełbasa Myśliwska,28,0.7,21
Pieczeń z mielonego mięsa wieprzowo - drobiowowego z kminkiem,10.8,9.5,17
Kabanosy bekonowe z pieprzem,26,2,48
Golonkowa,17,0.5,8
Metka łososiowa,10,0.5,48
Kiełbasa żywiecka z szynki,27,0.1,12
Pasztet z indyka,19,5.1,15
Hamburgery,15,6.6,14
Pork luncheou meat tinely minced,11,0.5,24
Kiełbaski białe z szynki,17,0.6,19
Szynka z Wędzarni,22,0.5,9.5
Salami delikatesowe,18,3.4,28
Pate with Cranberries,9.6,8,23.5
Pasztet z pomidorami,8,3.9,16
Frankfurter,17,0.6,27
Pasztet drobiowo-wieprzowy,8.4,3,17
Boczek surowy wędzony,15,0.5,24
Szynka z kurczaka,19,2.1,6.2
Pasztet z królikiem,15.5,8,16
Salami z Nuss,19,4,37
Szynka,17,1.1,2.4
Polędwica z kurcząt,19,2.2,2.5
Konserwa turystyczna,17,0.2,26
Pasztet z boczkiem,11,9,21
White sausage,0.5,2,25
Wieprzowina w galarecie,10.6,0.5,2.5
Boczek surowy wędzony w kostce,15,0.5,24
Lachsfleisch,21,2,2
Kaszanka konserwowa,10.1,14.5,23.1
Kiełbasa ze wsi,14,1,21
Wołowina w sosie własnym,15,0.6,14
Kiełbasa Podwawelska,15,1.5,21
Berlinki Machos a la kabanos XXL,14,3.2,22
Polędwiczki panierowane z kurczaka,18,7.9,7.9
Kindziuk,28,1.4,9
Pasztet Belgijski drobiowo-wieprzowy,8,2.6,18
Żywiecka kiełbasa sucha z szynki.,27,0.6,8.5
"Salami 2 smaki. (Salami wytrawne, Salami)",20,1.6,33
Saucissons secs mini noix,30,3.8,39
Frankfuterki wędzone,16.8,0.8,27
Prosciutto,28,0.5,13
Saucisse SÈCHE,24,3.3,39
Polędwica sopocka,16,0.8,2.3
Konserwa wieprzowa grubo rozdrobniona,13,2.4,12
Pierś pieczona z pomidorami i ziołami,22,2,2
Berlinki z indyka,13,1.8,18
Kabanos z indyka długo suszony dla smaku,23,1.4,37
Wieprzowina w sosie wlasnym,13,1.3,13
Kiełbasa Żywiecka,23,0.5,16
Pasztet wieprzowy,8.9,5.9,18
Salami z oliwkami,15,2.4,42
Pasztet drobiowo-wieprzowy z czosnkiem.,7.7,4.5,17
Kiełbasa Śląska,15,1.3,20
Pasztet z dzika z wątróbką drobiową,17,1.6,13
Golonka wieprzowa bez kości,18,0.8,15
Kiełbasa slaska extra,18,2.6,12
Polędwica łososiowa wieprzowa,21,2,1.6
Salami peperoni,22,3.1,45
Schab,23,2,4
Pasztet drobiowy z pieprzem,7,4,15
Szynka szwarcwaldzka,25,1,15
Krakowska sucha,24,1.1,6.9
Parówki wieprzowe,13,2.7,21
Salami z papryką,23,2.5,33
"Szynka Serrano, Tapas",30,0.9,14
Frytki z kurczaka,14,11,10
Pasztet wiejski,11,2,29
Salami z pieprzem,23,2,33
Burger z kurczakiem,12,6.7,15
Pasztet angielski drobiowy,11,4.1,8.5
Parówki sokoliki,15.5,1.7,13
Salami naturalne,17,3.1,40
Szynka Basiuni,17,1.5,1.9
Kiełbasa Rakowska,22,3.5,9
"Sałatka z pieczonym mięsem z kurczaka, kukurydzą i białą kapustą",4.5,9.3,23
"Pasta z kurczakiem, ciecierzycą i papryką",7.1,4,15
Salceson Wieprzowy,15,3.9,11
Chorwacka szynka dojrzewającąca,29,0.5,19.4
Schab wiejski premium,26,0.5,5.6
Pasztet Belgijski z dodatkiem wątróbki z kurcząt,8,2.6,18
Salami ostródzkie,22,0.3,39
Boczek parzony,17,0.5,26
Beef Jerky Sweet & Hot,35,25,3.8
Boczek wędzony surowy,16,0.6,23
Kiełbaski 100% mięsa,17,0.7,18
Kiełbaski z Filetem z Kurczaka,16,0.5,10
Ogonówka,16,1.2,6
Gryzzale kabanoski z kurczaka z indykiem,24,5.8,21
Gulasz z jelenia w sosie myśliwskim,18,6,1.7
Berlinki chilli,13,2.2,21
Ćwiartka z kurczaka w marynacie z łagodnej papryki,13,1.4,10
Boczek Lardons,16.4,0.5,27
Chicken kebab,15,2.6,11
Polędwica Drobiowa,17,3.5,3
Kiełbasa żywiecka z szynki.,27,0.1,12
Udziec z indyka,15,0.6,4.9
Burger wołowy,19,1,15
Szynka Wieprzowa Konserwowa Extra,15,2.1,1.9
Salami wyborowe w posypce pomidorowej,19,4,37
Pasztet z papryką,8.6,3.4,15
Berlinki Machos á la Kabanos,14,3.1,22
Indyk,16,6.5,5.3
Kiełbasa krakowska sucha,30.3,0.4,5.9
Szynka Zawędzana Wieprzowa,18,2.8,4
PELMENI,9.3,29.8,27.2
Mięsiwo w sosie własnym,18,0.5,8.7
Śląska kiełbasa,17,1,18
Salceson Hetmański,18,0.5,13
Pasztet ze szczypiorkiem,9,3.4,20
Sucha krakowska z szynki,28,1.2,8
Boczek DK Parzony,10,0.5,19
Salami dojrzewające,21,3.7,32
"Boczek wędzony, plastry",19,2.3,21
Panierowane skrzydełka z kurczaka,14,11,13
Pasztet z borowikami,10,3,16
Salami na kanapkę,17,3.4,41
Aile de poulet. Épicé,15,6.8,5.3
Tenders de poulet,21,9.6,0.6
Frites de poulet Pane,15,18,1.1
Chicken wings,20,0.7,1.5
Bio Hackfleisch gemischt,20,0.5,18
Qualivo Bockwurst ohne Darm 4 Stück,13,1,25
Kiełbasa śląska 98% mięsa,17,0.7,22
Kiełbasa bamberska,27.6,2,5.3
Per gusto Wołowina,33,2,3
Beef Jerky Klasyczne,50,6,5.5
Pekpol Ostrołęka Szynka Konserwowa,19,2.2,2
Krakus szynka od szwagra,19,0.3,13
Kiełbasa rodzinna z warzywami,10,4.6,11
Beef steak rump,23.2,0.7,2
Rostbef luksusowy,18,0.8,4.4
Szynka klasyczna,19,2,6
Nasza Kiełbasa Śląska,12,3.6,23
Boczek rolowany,16,2.2,24
Kabanosy wieprzowe Enjoy,28,3,43
Turystyczna konserwa,11,3,20
Kiełbasa biała surowa wieprzowa z rozmarynem,12,2,22
Aile de poulet fumé,18,0.7,12
Kurczak w galarecie,8.7,3.4,0.7
Mięso mielone,18,1.2,13
Kabalnosy wieprzone,23,7.8,38
Tatar z udźca wołowego premium,20,0.5,3.5
Mięso mielone z szynki wieprzowej,20,0.5,5.6
Będę jerky asian,40,17,4
Chicken tenders,12.5,21.4,16.3
Indyk w sosie maślano-koperkowym,19,0.9,9.2
Kaczka,14,2,13
Mięso mielone z łopatki wieprzowej,18,1.2,13
Chicken Strips,19,7.9,7.9
Kiełbasa zwyczajna,12,3,20
Fried chicken,18,11,10
Chicken Wings Marinated,24,4.6,8.9
Mięso Mielone Wieprzowe Ze Schabu,20,1,14
Boczek mielony,10,3.9,14
Golonka polska,11,3.4,9.4
Chicken strips panierowane,19,8.8,7.9
Boczek dojrzewający wędzony,15,0.5,26
Hamburger z kurczaka,11.8,3.1,16.5
Gulasz Wołowy,16,1.1,6
Udo prepersa,16,1,18
Pierś z kurczaka,21,0.5,6
Emmental râpé,27,1,29
Naturalny mix,15,57,2.9
Kiełki rzodkiewki,4.7,5.3,1.2
Kiełki koniczyny,4.3,0.7,0.3
Kiełki pora,2.7,1.6,0.5
Szpinak młody,2.9,3.6,0.5
Kiełki brokułu,4.3,0.6,3.2
Kiełki jarmużu,5.5,2.3,3.7
Kiełki fasoli mung,1.9,1.9,0.1
Kiełki Stir-Fry,9.6,19.2,0.3
Cooked Chickpeas,6.7,12,2.4
Red Kidney Beans,8.4,15,1
Pestki dyni,34.4,3.6,47.7
Нахут,6.4,15,2.2
long grain rice,7.5,77.4,1.9
Organic Salted Millet Snack Balls,11.3,70.2,2.3
riso integrale venere,1.7,63,2
Sunflower seeds,21.4,5.1,53.9
Riz long grain étuvé,7.4,81,1.1
Lenticchie al vapore,8.5,14.2,0.7
Riz long,7.3,79,0.8
Couscous moyen,12,69,1.8
Red Lentils,26,47,1.6
Graines de Courge,35,3.3,49
Graines de Tournesol,24,5,57
Green lentils,24,39,1.6
Darált mák,22.1,3.8,42.2
"Lencserudacskák, sós",15,55,16
Test,3.3,18,2.5
Kasza Gryczana prażona,12.4,65.1,3.2
Kasza Gryczana,13,69,3
Ryż biały długoziarnisty basmati,8.9,75,1.1
Natural mix,15,58,4.9
Bonduelle Rode Kidneybonen,7.7,13.9,0.6
SOJA Sans sucres ajoutés**,3.8,1.4,2.1
Słonecznik łuskany,21,12,52
Kichererbsen,7.8,15,2.5
Bio Organic Weisser Quinoa,13.8,60.1,6.8
Ryż biały długoziarnisty,6.8,81,0.6
haricots barbecue,4.9,13.8,0.2
Ryż Brązowy - Długoziarnisty,7.5,75,2
Avoine,0.5,7.2,1.2
Riža dugo zrno,7.2,79,0.7
Graines de sésame,23,4,54
Instant millet flakes,10,74,2.5
Ciecierzyca Grao De Bico,6.2,14,2.2
Basmati Reis,8.9,79.2,0.8
ryż czerwony,8.8,70,3.2
cizrna,18.6,45,6.2
Ryż jaśminowy długoziarnisty,7.4,78,0.5
Ryż do sushi,6.3,80,0.5
Ryż preparowany,6.3,79,1.6
Len mielony złoty odtłuszczony,34,6,12
Groch żółty łuskany połówki,21,52,1.8
Kasza jaglana,11,68,3
Ziarno słonecznika prażone,14,6.2,25
Soczewica zielona,24,46,1.1
Soczewica czerwona,25,49,3
Ryż brązowy,7.7,72,3.2
kasza Jęczmienna Perłowa,9.9,65,0.6
Rote Kidneybohnen,7.7,15,0.5
Buckwheat groats,14,60,3.2
La lentilles verte,25,45,1.8
Popcorn,9.4,67,4.7
Fasola czorwona,8,15,0.8
organic oats,14,58,7.1
Sezam,23,2.1,60
Ryż parboiled,7.8,79,1
country style barley groats,10.6,66,2.1
Ryż Jaśminowy,6.8,78,0.8
Soczewica,26,47,1.6
Ryż naturalny brązowy,7.1,76.8,1.9
ekologiczna Ciecierzyca,7.1,15,2.7
