Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Papryka smażona bez skórki,0.6,3.2,2.5
Firmowa z czerwonej kapusty z jabłkiem,1,10,6.9
Mieszanka Azjatycka,1.4,3.8,0.5
Piratki Filet z Kurczaka,22,1.7,1
Kabanosy wieprzowe,26,5.2,42
Berlinki Classic,13,2.8,18
Sausages,13,4.3,19
Berlinki classic,13,2.8,18
Szynka wieprzowa,18.9,0.8,3.2
Boczek wędzony wieprzowy,14,1.4,30
Berlinki z kurcząt,16,2.2,13
Naturalne Parówki 100% z szynki,14,1.3,25
Parówki z szynki,14,1.3,24
Schab Wędzony na wiśniowo,18,2,2.4
Mini Saucissons Secs,29,3.5,38
Pasztet drobiowy,7.5,5.5,12
Szynka eksportowa,19,2,1.6
Parówki,14,1.3,24
Szynka konserwowa z galaretką,17,0.5,4.9
Podlaski pasztet drobiowy,7,4,15
Chicken Pâté,8.5,5.2,17
Z Serem,14,2.8,21
Ham Frankfurters,14,3.5,22
Boczek,13,1,28
Szynka Konserwowa,19,1.3,2
Kiełbasa z weka,13,1,24
Polędwica Wiejska Sadecka,27,0.5,5
Wielkopolski Pasztet z drobiem i pieczarkami,8.2,5.2,17
Salami klasyczne,20,1.5,36
Szynka delikatesowa z kurcząt,19,2.2,2.5
Pasztet,8.4,6.7,14
Konserwa mięsna z dziczyzny z dodatkiem mięsa wieprzowego,13,2.5,18
Kiełbasa Żywiecka wieprzowa,24,0.6,14
Gulasz angielski 95 % mięsa,17,0.5,19
Parówki z piersi kurczaka,16,0.2,13
Pasztet drobiowy z pomidorami,7.5,6.6,15
Kiełbasa z czosnkiem,14,0.6,20
Kabanosy,26,6,42
Mięso z fileta z piersi indyka,22,0.5,2
Hamburger,11,11,18
Salami pieprzowe,20,1.5,36
Szynka Eksportowa z piersi kurczaka,20,1,2.1
Filet z kaczki z sosem żurawinowym,17,1,13
Berlinki jalapeño,13,2.8,21
Szynka z fileta kurczaka,21,2.5,2
Berlinki pepperoni,13,2.1,21
Szynka Zawędzana,18,3,2
Polędwiczki z kurczaka panierowane,18.5,7.8,7.7
Szynka z indyka,18,2,2
Polędwiczki z kurczaka,15,14,8.4
Tatar wołowy,17,0.5,5.4
Mięso Mielone Z Kurczaka Świeże,19,0.5,7.9
Parówki wieprzowe Mediolanki,13,2.9,24
Boulettes au boeuf*,12,3.5,15
Pasztet z pieczarkami,7.8,2.6,14
Krakowska sucha z szynki,24,1.1,6.9
Schab wędzony wiśnią,18,2,3.6
Boczek wędzony,13,0.7,31
Kiełbasa Mysliwska,27,3.2,27
Salami Pepperoni,17,1.3,41
Szynka Delikatna,21,1,14
Frankfurter,17,0.6,27
"Battered chicken tenders, mild",20,4.5,6
Tender Beef Jerky Hot,41,19,4.1
Metka łososiowa,10,0.5,48
Tatar wołowy,19,0.5,4
Polędwica drobiowa,18,2.5,2
Golonkowa,17,0.5,8
Hamburgery,15,6.6,14
Szynka z kurczaka,19,2.1,6.2
Szynka Wędzona,20,1.1,3
Kiełbasa żywiecka z szynki,27,0.1,12
Salami delikatesowe,18,3.4,28
Danie express Panierowane skrzydełka z kurczaka,20,6.9,17
Gyros,24,0.3,8.5
Golonka wieprzowa,17,0.5,8
Boczek parzony,13,0.7,31
Podlaski Pasztet drobiowy,7,4,15
Boczek surowy wędzony,15,0.5,24
Kiełbasa Myśliwska,28,0.7,21
Pieczeń z mielonego mięsa wieprzowo - drobiowowego z kminkiem,10.8,9.5,17
Kiełbasa Żywiecka z indyka,23,0.3,7.4
Kiełbasa biała,13,0.5,13
Szynka z Wędzarni,22,0.5,9.5
Pasztet z indyka,19,5.1,15
Salami z cebulą,19,4,37
Kiełbaski białe z szynki,17,0.6,19
Mielonka Tyrolska,12,4.1,16
Salami z pieprzem,23,2,33
Beef Jerky Sweet & Hot,35,25,3.75
Salami wyborowe w posypce pomidorowej,19,4,37
Pork Loin Morliński,20,1.6,2.8
Salami z papryką,23,2.5,33
Kiełbasa myśliwska,24,0.5,20
Gryzzale kabanoski z kurczaka z indykiem,24,5.8,21
Kiełbasa Podwawelska,15,1.5,21
Stówki z mięsa z piersi kurczaka,16,1.8,12
Kiełbasa śląska,15,2,20
Gulasz z jelenia w sosie myśliwskim,18,6,1.7
Polędwica sopocka,18,2.5,1.7
Konserwa wieprzowa grubo rozdrobniona,13,2.4,12
Kaszanka konserwowa,10.12,14.52,23.07
"Kiełbasa lekko czosnkowa, Konserwa wieprzowa średnio rozdrobniona",14,0.9,20
Kabanos z indyka długo suszony dla smaku,23,1.4,37
"Szynka Serrano, Tapas",30,0.9,14
Saucissons secs mini noix,30,3.8,39
Polędwica z kurcząt,19,2.2,2.5
Tyrolska konserwa,11,3,20
Krakowska sucha,24,1.1,6.9
Szynka Basiuni,17,1.5,1.9
"Kiełbasa krakowska - konserwa wieprzowa grubo rozdrobniona, sterylizowana",16,0.5,11
Prosciutto,28,0.5,13
Wieprzowina w galarecie,9.4,2.1,0.5
Boczek wędzony,18,0.9,19
Schab wiejski premium,26,0.5,5.6
Boczek Lardons,16.4,0.5,27
Polędwica Drobiowa,17,3.5,3
Salceson Wieprzowy,15,3.9,11
Beef Jerky,40,3.2,3.8
Chicken kebab,18,0.5,13
Golonka wieprzowa bez kości,18,0.8,15
Kiełbasa slaska extra,18,2.6,12
Kiełbaski 100% mięsa,17,0.7,18
Pierś pieczona z pomidorami i ziołami,22,2,2
Salami z Nuss,19,4,37
Filet wędzony z kurczaka,23,0.3,1.8
Burger wołowy,19,1,15
Kiełbasa biała z szynki,15,1.5,20.2
